,d1,d2,d3,c1,c2,c3,participant
0,,,,Blue,Red,Green,10
1,5.0,7.0,3.0,Yellow,Pink,Brown,10
2,9.0,2.0,4.0,Blue,Red,Green,10
3,5.0,7.0,3.0,Yellow,Pink,Brown,10
4,1.0,8.0,6.0,Purple,Orange,Gray,10
5,9.0,2.0,4.0,Yellow,Pink,Brown,10
6,1.0,8.0,6.0,Blue,Red,Green,10
7,5.0,7.0,3.0,Purple,Orange,Gray,10
8,,,,,,,10
9,1.0,8.0,6.0,Yellow,Pink,Brown,10
10,5.0,7.0,3.0,Blue,Red,Green,10
11,1.0,8.0,6.0,Purple,Orange,Gray,10
12,9.0,2.0,4.0,Yellow,Pink,Brown,10
13,1.0,8.0,6.0,Purple,Orange,Gray,10
14,5.0,7.0,3.0,Yellow,Pink,Brown,10
15,1.0,8.0,6.0,Blue,Red,Green,10
16,5.0,7.0,3.0,Yellow,Pink,Brown,10
17,9.0,2.0,4.0,Blue,Red,Green,10
18,5.0,7.0,3.0,Yellow,Pink,Brown,10
19,9.0,2.0,4.0,Blue,Red,Green,10
20,1.0,8.0,6.0,Purple,Orange,Gray,10
21,9.0,2.0,4.0,Yellow,Pink,Brown,10
22,1.0,8.0,6.0,Purple,Orange,Gray,10
23,9.0,2.0,4.0,Blue,Red,Green,10
24,5.0,7.0,3.0,Yellow,Pink,Brown,10
25,1.0,8.0,6.0,Purple,Orange,Gray,10
26,5.0,7.0,3.0,Blue,Red,Green,10
27,9.0,2.0,4.0,Yellow,Pink,Brown,10
28,,,,,,,10
29,1.0,8.0,6.0,Blue,Red,Green,10
30,9.0,2.0,4.0,Yellow,Pink,Brown,10
31,1.0,8.0,6.0,Blue,Red,Green,10
32,5.0,7.0,3.0,Purple,Orange,Gray,10
33,9.0,2.0,4.0,Yellow,Pink,Brown,10
34,1.0,8.0,6.0,Blue,Red,Green,10
35,9.0,2.0,4.0,Yellow,Pink,Brown,10
36,5.0,7.0,3.0,Blue,Red,Green,10
37,9.0,2.0,4.0,Purple,Orange,Gray,10
38,1.0,8.0,6.0,Yellow,Pink,Brown,10
39,5.0,7.0,3.0,Purple,Orange,Gray,10
40,9.0,2.0,4.0,Blue,Red,Green,10
41,5.0,7.0,3.0,Purple,Orange,Gray,10
42,9.0,2.0,4.0,Blue,Red,Green,10
43,5.0,7.0,3.0,Purple,Orange,Gray,10
44,9.0,2.0,4.0,Yellow,Pink,Brown,10
45,,,,,,,10
46,1.0,8.0,6.0,Blue,Red,Green,10
47,5.0,7.0,3.0,Yellow,Pink,Brown,10
