,d1,d2,d3,c1,c2,c3,participant
0,,,,Purple,Orange,Gray,2
1,,,,,,,2
2,9.0,2.0,4.0,Yellow,Pink,Brown,2
3,5.0,7.0,3.0,Purple,Orange,Gray,2
4,9.0,2.0,4.0,Yellow,Pink,Brown,2
5,5.0,7.0,3.0,Purple,Orange,Gray,2
6,1.0,8.0,6.0,Blue,Red,Green,2
7,5.0,7.0,3.0,Yellow,Pink,Brown,2
8,9.0,2.0,4.0,Purple,Orange,Gray,2
9,1.0,8.0,6.0,Yellow,Pink,Brown,2
10,9.0,2.0,4.0,Purple,Orange,Gray,2
11,5.0,7.0,3.0,Blue,Red,Green,2
12,1.0,8.0,6.0,Purple,Orange,Gray,2
13,9.0,2.0,4.0,Yellow,Pink,Brown,2
14,1.0,8.0,6.0,Purple,Orange,Gray,2
15,5.0,7.0,3.0,Yellow,Pink,Brown,2
16,1.0,8.0,6.0,Blue,Red,Green,2
17,5.0,7.0,3.0,Purple,Orange,Gray,2
18,9.0,2.0,4.0,Blue,Red,Green,2
19,5.0,7.0,3.0,Purple,Orange,Gray,2
20,1.0,8.0,6.0,Blue,Red,Green,2
21,9.0,2.0,4.0,Yellow,Pink,Brown,2
22,1.0,8.0,6.0,Purple,Orange,Gray,2
23,9.0,2.0,4.0,Yellow,Pink,Brown,2
24,1.0,8.0,6.0,Blue,Red,Green,2
25,5.0,7.0,3.0,Purple,Orange,Gray,2
26,,,,,,,2
27,1.0,8.0,6.0,Yellow,Pink,Brown,2
28,5.0,7.0,3.0,Purple,Orange,Gray,2
29,9.0,2.0,4.0,Blue,Red,Green,2
30,1.0,8.0,6.0,Yellow,Pink,Brown,2
31,5.0,7.0,3.0,Purple,Orange,Gray,2
32,,,,,,,2
33,1.0,8.0,6.0,Blue,Red,Green,2
34,5.0,7.0,3.0,Yellow,Pink,Brown,2
35,9.0,2.0,4.0,Purple,Orange,Gray,2
36,5.0,7.0,3.0,Blue,Red,Green,2
37,1.0,8.0,6.0,Purple,Orange,Gray,2
38,5.0,7.0,3.0,Blue,Red,Green,2
39,1.0,8.0,6.0,Purple,Orange,Gray,2
40,5.0,7.0,3.0,Yellow,Pink,Brown,2
41,1.0,8.0,6.0,Blue,Red,Green,2
42,9.0,2.0,4.0,Yellow,Pink,Brown,2
43,1.0,8.0,6.0,Blue,Red,Green,2
44,5.0,7.0,3.0,Purple,Orange,Gray,2
45,1.0,8.0,6.0,Blue,Red,Green,2
46,9.0,2.0,4.0,Purple,Orange,Gray,2
47,5.0,7.0,3.0,Yellow,Pink,Brown,2
48,9.0,2.0,4.0,Blue,Red,Green,2
49,5.0,7.0,3.0,Yellow,Pink,Brown,2
50,9.0,2.0,4.0,Blue,Red,Green,2
51,5.0,7.0,3.0,Purple,Orange,Gray,2
52,9.0,2.0,4.0,Blue,Red,Green,2
53,5.0,7.0,3.0,Yellow,Pink,Brown,2
54,1.0,8.0,6.0,Purple,Orange,Gray,2
55,,,,,,,2
56,9.0,2.0,4.0,Blue,Red,Green,2
57,1.0,8.0,6.0,Yellow,Pink,Brown,2
58,5.0,7.0,3.0,Blue,Red,Green,2
59,1.0,8.0,6.0,Yellow,Pink,Brown,2
60,5.0,7.0,3.0,Blue,Red,Green,2
61,1.0,8.0,6.0,Purple,Orange,Gray,2
62,,,,,,,2
63,5.0,7.0,3.0,Yellow,Pink,Brown,2
64,1.0,8.0,6.0,Purple,Orange,Gray,2
65,,,,,,,2
66,9.0,2.0,4.0,Yellow,Pink,Brown,2
67,,,,,,,2
68,5.0,7.0,3.0,Purple,Orange,Gray,2
69,9.0,2.0,4.0,Yellow,Pink,Brown,2
70,1.0,8.0,6.0,Purple,Orange,Gray,2
71,9.0,2.0,4.0,Blue,Red,Green,2
