d1,d2,d3,c1,c2,c3,participant
,,,Purple,Orange,DarkGray,3
9.0,2.0,4.0,Yellow,Pink,Brown,3
5.0,7.0,3.0,Blue,Red,Green,3
9.0,2.0,4.0,Yellow,Pink,Brown,3
5.0,7.0,3.0,Purple,Orange,DarkGray,3
1.0,8.0,6.0,Yellow,Pink,Brown,3
9.0,2.0,4.0,Blue,Red,Green,3
5.0,7.0,3.0,Purple,Orange,DarkGray,3
9.0,2.0,4.0,Blue,Red,Green,3
5.0,7.0,3.0,Yellow,Pink,Brown,3
1.0,8.0,6.0,Purple,Orange,DarkGray,3
9.0,2.0,4.0,Yellow,Pink,Brown,3
5.0,7.0,3.0,Blue,Red,Green,3
,,,,,,3
1.0,8.0,6.0,Yellow,Pink,Brown,3
9.0,2.0,4.0,Blue,Red,Green,3
1.0,8.0,6.0,Purple,Orange,DarkGray,3
9.0,2.0,4.0,Yellow,Pink,Brown,3
5.0,7.0,3.0,Purple,Orange,DarkGray,3
1.0,8.0,6.0,Blue,Red,Green,3
5.0,7.0,3.0,Purple,Orange,DarkGray,3
1.0,8.0,6.0,Blue,Red,Green,3
5.0,7.0,3.0,Purple,Orange,DarkGray,3
1.0,8.0,6.0,Blue,Red,Green,3
9.0,2.0,4.0,Yellow,Pink,Brown,3
1.0,8.0,6.0,Purple,Orange,DarkGray,3
9.0,2.0,4.0,Yellow,Pink,Brown,3
,,,,,,3
5.0,7.0,3.0,Blue,Red,Green,3
1.0,8.0,6.0,Purple,Orange,DarkGray,3
5.0,7.0,3.0,Blue,Red,Green,3
1.0,8.0,6.0,Purple,Orange,DarkGray,3
9.0,2.0,4.0,Yellow,Pink,Brown,3
1.0,8.0,6.0,Blue,Red,Green,3
9.0,2.0,4.0,Purple,Orange,DarkGray,3
1.0,8.0,6.0,Yellow,Pink,Brown,3
5.0,7.0,3.0,Blue,Red,Green,3
,,,,,,3
9.0,2.0,4.0,Yellow,Pink,Brown,3
1.0,8.0,6.0,Blue,Red,Green,3
9.0,2.0,4.0,Yellow,Pink,Brown,3
1.0,8.0,6.0,Purple,Orange,DarkGray,3
9.0,2.0,4.0,Blue,Red,Green,3
5.0,7.0,3.0,Purple,Orange,DarkGray,3
9.0,2.0,4.0,Blue,Red,Green,3
5.0,7.0,3.0,Purple,Orange,DarkGray,3
9.0,2.0,4.0,Blue,Red,Green,3
,,,,,,3
5.0,7.0,3.0,Purple,Orange,DarkGray,3
,,,,,,3
9.0,2.0,4.0,Blue,Red,Green,3
5.0,7.0,3.0,Purple,Orange,DarkGray,3
9.0,2.0,4.0,Blue,Red,Green,3
1.0,8.0,6.0,Yellow,Pink,Brown,3
5.0,7.0,3.0,Purple,Orange,DarkGray,3
1.0,8.0,6.0,Yellow,Pink,Brown,3
9.0,2.0,4.0,Purple,Orange,DarkGray,3
5.0,7.0,3.0,Blue,Red,Green,3
9.0,2.0,4.0,Yellow,Pink,Brown,3
1.0,8.0,6.0,Blue,Red,Green,3
9.0,2.0,4.0,Purple,Orange,DarkGray,3
5.0,7.0,3.0,Blue,Red,Green,3
9.0,2.0,4.0,Purple,Orange,DarkGray,3
