dot_values,colour_values,participant
,Yellow,6
,,6
5.0,Pink,6
7.0,Brown,6
3.0,Blue,6
9.0,Red,6
2.0,Green,6
4.0,Yellow,6
1.0,Pink,6
8.0,Brown,6
6.0,Purple,6
,,6
9.0,Orange,6
2.0,DarkGray,6
4.0,Blue,6
5.0,Red,6
7.0,Green,6
3.0,Purple,6
1.0,Orange,6
8.0,DarkGray,6
,,6
6.0,Blue,6
9.0,Red,6
2.0,Green,6
4.0,Purple,6
1.0,Orange,6
8.0,DarkGray,6
6.0,Yellow,6
,,6
9.0,Pink,6
2.0,Brown,6
4.0,Blue,6
5.0,Red,6
7.0,Green,6
,,6
3.0,Yellow,6
1.0,Pink,6
8.0,Brown,6
6.0,Purple,6
5.0,Orange,6
7.0,DarkGray,6
3.0,Yellow,6
9.0,Pink,6
2.0,Brown,6
4.0,Blue,6
5.0,Red,6
7.0,Green,6
3.0,Yellow,6
1.0,Pink,6
8.0,Brown,6
6.0,Blue,6
5.0,Red,6
7.0,Green,6
3.0,Purple,6
1.0,Orange,6
8.0,DarkGray,6
,,6
6.0,Blue,6
5.0,Red,6
7.0,Green,6
3.0,Purple,6
,,6
1.0,Orange,6
8.0,DarkGray,6
,,6
6.0,Yellow,6
,,6
9.0,Pink,6
2.0,Brown,6
4.0,Blue,6
5.0,Red,6
7.0,Green,6
3.0,Yellow,6
1.0,Pink,6
8.0,Brown,6
6.0,Purple,6
9.0,Orange,6
2.0,DarkGray,6
4.0,Yellow,6
5.0,Pink,6
7.0,Brown,6
3.0,Purple,6
9.0,Orange,6
2.0,DarkGray,6
4.0,Yellow,6
1.0,Pink,6
8.0,Brown,6
6.0,Blue,6
5.0,Red,6
7.0,Green,6
3.0,Purple,6
,,6
9.0,Orange,6
2.0,DarkGray,6
4.0,Blue,6
5.0,Red,6
7.0,Green,6
3.0,Yellow,6
,,6
1.0,Pink,6
8.0,Brown,6
6.0,Blue,6
5.0,Red,6
7.0,Green,6
3.0,Yellow,6
9.0,Pink,6
2.0,Brown,6
4.0,Blue,6
1.0,Red,6
8.0,Green,6
,,6
6.0,Yellow,6
9.0,Pink,6
2.0,Brown,6
,,6
4.0,Purple,6
1.0,Orange,6
,,6
8.0,DarkGray,6
6.0,Yellow,6
,,6
5.0,Pink,6
7.0,Brown,6
3.0,Purple,6
9.0,Orange,6
2.0,DarkGray,6
,,6
4.0,Blue,6
1.0,Red,6
8.0,Green,6
6.0,Yellow,6
9.0,Pink,6
2.0,Brown,6
4.0,Blue,6
,,6
1.0,Red,6
8.0,Green,6
6.0,Purple,6
5.0,Orange,6
7.0,DarkGray,6
3.0,Yellow,6
1.0,Pink,6
8.0,Brown,6
,,6
6.0,Blue,6
9.0,Red,6
2.0,Green,6
4.0,Yellow,6
,,6
1.0,Pink,6
8.0,Brown,6
6.0,Purple,6
9.0,Orange,6
2.0,DarkGray,6
4.0,Yellow,6
1.0,Pink,6
8.0,Brown,6
6.0,Blue,6
5.0,Red,6
7.0,Green,6
3.0,Yellow,6
9.0,Pink,6
2.0,Brown,6
4.0,Blue,6
1.0,Red,6
,,6
8.0,Green,6
6.0,Purple,6
9.0,Orange,6
2.0,DarkGray,6
4.0,Blue,6
5.0,Red,6
7.0,Green,6
3.0,Yellow,6
9.0,Pink,6
2.0,Brown,6
4.0,Blue,6
5.0,Red,6
7.0,Green,6
3.0,Purple,6
9.0,Orange,6
2.0,DarkGray,6
4.0,Blue,6
1.0,Red,6
8.0,Green,6
6.0,Yellow,6
,,6
5.0,Pink,6
7.0,Brown,6
,,6
3.0,Purple,6
1.0,Orange,6
8.0,DarkGray,6
6.0,Yellow,6
5.0,Pink,6
7.0,Brown,6
3.0,Purple,6
9.0,Orange,6
2.0,DarkGray,6
4.0,Yellow,6
1.0,Pink,6
8.0,Brown,6
6.0,Blue,6
5.0,Red,6
7.0,Green,6
,,6
3.0,Purple,6
9.0,Orange,6
2.0,DarkGray,6
4.0,Yellow,6
5.0,Pink,6
7.0,Brown,6
3.0,Blue,6
1.0,Red,6
8.0,Green,6
6.0,Purple,6
5.0,Orange,6
7.0,DarkGray,6
3.0,Blue,6
9.0,Red,6
2.0,Green,6
4.0,Purple,6
1.0,Orange,6
8.0,DarkGray,6
6.0,Yellow,6
9.0,Pink,6
2.0,Brown,6
4.0,Purple,6
1.0,Orange,6
8.0,DarkGray,6
6.0,Blue,6
5.0,Red,6
7.0,Green,6
3.0,Yellow,6
9.0,Pink,6
2.0,Brown,6
4.0,Blue,6
5.0,Red,6
7.0,Green,6
3.0,Purple,6
9.0,Orange,6
2.0,DarkGray,6
4.0,Yellow,6
5.0,Pink,6
7.0,Brown,6
3.0,Purple,6
1.0,Orange,6
8.0,DarkGray,6
6.0,Blue,6
,,6
9.0,Red,6
2.0,Green,6
4.0,Yellow,6
5.0,Pink,6
7.0,Brown,6
,,6
3.0,Blue,6
9.0,Red,6
2.0,Green,6
4.0,Yellow,6
,,6
5.0,Pink,6
7.0,Brown,6
,,6
3.0,Purple,6
9.0,Orange,6
2.0,DarkGray,6
4.0,Yellow,6
1.0,Pink,6
8.0,Brown,6
6.0,Purple,6
5.0,Orange,6
7.0,DarkGray,6
3.0,Blue,6
1.0,Red,6
8.0,Green,6
6.0,Purple,6
5.0,Orange,6
7.0,DarkGray,6
3.0,Yellow,6
9.0,Pink,6
2.0,Brown,6
4.0,Purple,6
1.0,Orange,6
8.0,DarkGray,6
6.0,Blue,6
,,6
9.0,Red,6
2.0,Green,6
4.0,Purple,6
1.0,Orange,6
8.0,DarkGray,6
6.0,Blue,6
9.0,Red,6
2.0,Green,6
4.0,Purple,6
5.0,Orange,6
7.0,DarkGray,6
3.0,Blue,6
1.0,Red,6
,,6
8.0,Green,6
6.0,Purple,6
5.0,Orange,6
7.0,DarkGray,6
3.0,Blue,6
1.0,Red,6
8.0,Green,6
6.0,Purple,6
5.0,Orange,6
7.0,DarkGray,6
,,6
3.0,Yellow,6
1.0,Pink,6
8.0,Brown,6
6.0,Purple,6
5.0,Orange,6
7.0,DarkGray,6
3.0,Blue,6
1.0,Red,6
8.0,Green,6
6.0,Yellow,6
,,6
9.0,Pink,6
2.0,Brown,6
4.0,Blue,6
1.0,Red,6
,,6
8.0,Green,6
6.0,Yellow,6
5.0,Pink,6
7.0,Brown,6
3.0,Blue,6
1.0,Red,6
8.0,Green,6
6.0,Yellow,6
9.0,Pink,6
2.0,Brown,6
4.0,Purple,6
1.0,Orange,6
8.0,DarkGray,6
,,6
6.0,Blue,6
