dot_values,colour_values,participant,.thisRepN,.thisTrialN,.thisN,.thisIndex,response,response_time,date,
nan,Blue,111,0,0,0,0,,,2016_Jul_08_1050,
5.0,Red,111,0,1,1,1,,,2016_Jul_08_1050,
nan,nan,111,0,2,2,2,m,0.186034917831,2016_Jul_08_1050,
7.0,Green,111,0,3,3,3,m,0.586104154587,2016_Jul_08_1050,
3.0,Purple,111,0,4,4,4,m,0.402181863785,2016_Jul_08_1050,
9.0,Orange,111,0,5,5,5,m,0.338287115097,2016_Jul_08_1050,
2.0,DarkGray,111,0,6,6,6,m,0.306284189224,2016_Jul_08_1050,
nan,nan,111,0,7,7,7,z,0.490375995636,2016_Jul_08_1050,
4.0,Yellow,111,0,8,8,8,m,0.434196949005,2016_Jul_08_1050,
1.0,LightPink,111,0,9,9,9,z,0.530246019363,2016_Jul_08_1050,
nan,nan,111,0,10,10,10,,,2016_Jul_08_1050,
8.0,Brown,111,0,11,11,11,,,2016_Jul_08_1050,
6.0,Blue,111,0,12,12,12,,,2016_Jul_08_1050,
9.0,Red,111,0,13,13,13,m,0.098072052002,2016_Jul_08_1050,
2.0,Green,111,0,14,14,14,m,0.226102828979,2016_Jul_08_1050,
4.0,Purple,111,0,15,15,15,m,0.25780916214,2016_Jul_08_1050,
5.0,Orange,111,0,16,16,16,m,0.257954120636,2016_Jul_08_1050,
7.0,DarkGray,111,0,17,17,17,m,0.290040016174,2016_Jul_08_1050,
3.0,Blue,111,0,18,18,18,m,0.353950977325,2016_Jul_08_1050,
1.0,Red,111,0,19,19,19,m,0.36997795105,2016_Jul_08_1050,
8.0,Green,111,0,20,20,20,m,0.385877132416,2016_Jul_08_1050,
6.0,Purple,111,0,21,21,21,m,0.297742128372,2016_Jul_08_1050,
9.0,Orange,111,0,22,22,22,m,0.306037902832,2016_Jul_08_1050,
2.0,DarkGray,111,0,23,23,23,m,0.250124931335,2016_Jul_08_1050,
4.0,Yellow,111,0,24,24,24,m,0.17821097374,2016_Jul_08_1050,
1.0,LightPink,111,0,25,25,25,,,2016_Jul_08_1050,
8.0,Brown,111,0,26,26,26,m,0.506003141403,2016_Jul_08_1050,
6.0,Purple,111,0,27,27,27,m,0.473968982697,2016_Jul_08_1050,
5.0,Orange,111,0,28,28,28,m,0.441719055176,2016_Jul_08_1050,
7.0,DarkGray,111,0,29,29,29,m,0.36200594902,2016_Jul_08_1050,
3.0,Blue,111,0,30,30,30,m,0.321912050247,2016_Jul_08_1050,
1.0,Red,111,0,31,31,31,m,0.249955892563,2016_Jul_08_1050,
8.0,Green,111,0,32,32,32,m,0.177673816681,2016_Jul_08_1050,
6.0,Purple,111,0,33,33,33,m,0.0579879283905,2016_Jul_08_1050,
nan,nan,111,0,34,34,34,z,0.56969499588,2016_Jul_08_1050,
9.0,Orange,111,0,35,35,35,m,0.433840036392,2016_Jul_08_1050,
2.0,DarkGray,111,0,36,36,36,m,0.297970056534,2016_Jul_08_1050,
4.0,Yellow,111,0,37,37,37,m,0.0577549934387,2016_Jul_08_1050,
5.0,LightPink,111,0,38,38,38,,,2016_Jul_08_1050,
nan,nan,111,0,39,39,39,z,0.545845031738,2016_Jul_08_1050,
7.0,Brown,111,0,40,40,40,m,0.417717933655,2016_Jul_08_1050,
3.0,Purple,111,0,41,41,41,m,0.321630001068,2016_Jul_08_1050,
9.0,Orange,111,0,42,42,42,m,0.289806842804,2016_Jul_08_1050,
nan,nan,111,0,43,43,43,z,0.41779088974,2016_Jul_08_1050,
2.0,DarkGray,111,0,44,44,44,m,0.441854953766,2016_Jul_08_1050,
4.0,Blue,111,0,45,45,45,m,0.297782897949,2016_Jul_08_1050,
nan,nan,111,0,46,46,46,z,0.449643850327,2016_Jul_08_1050,
5.0,Red,111,0,47,47,47,m,0.337543964386,2016_Jul_08_1050,
7.0,Green,111,0,48,48,48,m,0.33756685257,2016_Jul_08_1050,
3.0,Purple,111,0,49,49,49,m,0.329676866531,2016_Jul_08_1050,
1.0,Orange,111,0,50,50,50,m,0.313779830933,2016_Jul_08_1050,
8.0,DarkGray,111,0,51,51,51,m,0.385411024094,2016_Jul_08_1050,
6.0,Blue,111,0,52,52,52,m,0.321563959122,2016_Jul_08_1050,
nan,nan,111,0,53,53,53,z,0.361452102661,2016_Jul_08_1050,
9.0,Red,111,0,54,54,54,m,0.345598936081,2016_Jul_08_1050,
2.0,Green,111,0,55,55,55,m,0.361613035202,2016_Jul_08_1050,
4.0,Yellow,111,0,56,56,56,m,0.257360219955,2016_Jul_08_1050,
5.0,LightPink,111,0,57,57,57,m,0.329621076584,2016_Jul_08_1050,
7.0,Brown,111,0,58,58,58,m,0.321457862854,2016_Jul_08_1050,
3.0,Blue,111,0,59,59,59,m,0.329666137695,2016_Jul_08_1050,
1.0,Red,111,0,60,60,60,m,0.3534719944,2016_Jul_08_1050,
8.0,Green,111,0,61,61,61,m,0.337208986282,2016_Jul_08_1050,
6.0,Purple,111,0,62,62,62,m,0.329444885254,2016_Jul_08_1050,
5.0,Orange,111,0,63,63,63,m,0.361238956451,2016_Jul_08_1050,
7.0,DarkGray,111,0,64,64,64,m,0.417161941528,2016_Jul_08_1050,
nan,nan,111,0,65,65,65,z,0.33745598793,2016_Jul_08_1050,
3.0,Blue,111,0,66,66,66,m,0.353137016296,2016_Jul_08_1050,
1.0,Red,111,0,67,67,67,m,0.265085935593,2016_Jul_08_1050,
8.0,Green,111,0,68,68,68,m,0.249271869659,2016_Jul_08_1050,
6.0,Yellow,111,0,69,69,69,m,0.20943903923,2016_Jul_08_1050,
5.0,LightPink,111,0,70,70,70,m,0.257425069809,2016_Jul_08_1050,
7.0,Brown,111,0,71,71,71,m,0.305521011353,2016_Jul_08_1050,
3.0,Blue,111,0,72,72,72,m,0.249021053314,2016_Jul_08_1050,
1.0,Red,111,0,73,73,73,m,0.201150178909,2016_Jul_08_1050,
