dot_values,colour_values,participant,.thisRepN,.thisTrialN,.thisN,.thisIndex,response,response_time,date,
nan,Blue,113,0,0,0,0,,,2016_Jul_15_1448,
1.0,Red,113,0,1,1,1,m,0.210134029388,2016_Jul_15_1448,
8.0,Green,113,0,2,2,2,m,0.586229085922,2016_Jul_15_1448,
6.0,Yellow,113,0,3,3,3,m,0.434507131577,2016_Jul_15_1448,
5.0,LightPink,113,0,4,4,4,m,0.290453910828,2016_Jul_15_1448,
7.0,Brown,113,0,5,5,5,m,0.0743188858032,2016_Jul_15_1448,
3.0,Blue,113,0,6,6,6,,,2016_Jul_15_1448,
9.0,Red,113,0,7,7,7,m,0.506544113159,2016_Jul_15_1448,
2.0,Green,113,0,8,8,8,m,0.426333189011,2016_Jul_15_1448,
4.0,Yellow,113,0,9,9,9,m,0.394366979599,2016_Jul_15_1448,
1.0,LightPink,113,0,10,10,10,m,0.306429862976,2016_Jul_15_1448,
8.0,Brown,113,0,11,11,11,m,0.154487133026,2016_Jul_15_1448,
nan,nan,113,0,12,12,12,m,0.0422620773315,2016_Jul_15_1448,
6.0,Purple,113,0,13,13,13,m,0.386473894119,2016_Jul_15_1448,
9.0,Orange,113,0,14,14,14,m,0.370316982269,2016_Jul_15_1448,
2.0,DarkGray,113,0,15,15,15,m,0.130431890488,2016_Jul_15_1448,
4.0,Blue,113,0,16,16,16,m,0.274126768112,2016_Jul_15_1448,
5.0,Red,113,0,17,17,17,m,0.28225684166,2016_Jul_15_1448,
7.0,Green,113,0,18,18,18,m,0.314013957977,2016_Jul_15_1448,
3.0,Yellow,113,0,19,19,19,m,0.298110961914,2016_Jul_15_1448,
nan,nan,113,0,20,20,20,z,0.346212863922,2016_Jul_15_1448,
9.0,LightPink,113,0,21,21,21,m,0.282295942307,2016_Jul_15_1448,
2.0,Brown,113,0,22,22,22,m,0.186038017273,2016_Jul_15_1448,
4.0,Blue,113,0,23,23,23,m,0.17023396492,2016_Jul_15_1448,
1.0,Red,113,0,24,24,24,m,0.22599697113,2016_Jul_15_1448,
8.0,Green,113,0,25,25,25,m,0.218227148056,2016_Jul_15_1448,
nan,nan,113,0,26,26,26,m,0.274302005768,2016_Jul_15_1448,
6.0,Yellow,113,0,27,27,27,m,0.32195687294,2016_Jul_15_1448,
5.0,LightPink,113,0,28,28,28,m,0.274229049683,2016_Jul_15_1448,
7.0,Brown,113,0,29,29,29,m,0.18629693985,2016_Jul_15_1448,
3.0,Blue,113,0,30,30,30,m,0.0821940898895,2016_Jul_15_1448,
1.0,Red,113,0,31,31,31,m,0.0102889537811,2016_Jul_15_1448,
8.0,Green,113,0,32,32,32,m,0.0339510440826,2016_Jul_15_1448,
6.0,Purple,113,0,33,33,33,z,0.19393992424,2016_Jul_15_1448,
5.0,Orange,113,0,34,34,34,m,0.594185113907,2016_Jul_15_1448,
7.0,DarkGray,113,0,35,35,35,m,0.537909984589,2016_Jul_15_1448,
3.0,Yellow,113,0,36,36,36,m,0.529973983765,2016_Jul_15_1448,
1.0,LightPink,113,0,37,37,37,m,0.546235084534,2016_Jul_15_1448,
8.0,Brown,113,0,38,38,38,m,0.498229026794,2016_Jul_15_1448,
6.0,Blue,113,0,39,39,39,m,0.513966083527,2016_Jul_15_1448,
5.0,Red,113,0,40,40,40,m,0.522191047668,2016_Jul_15_1448,
nan,nan,113,0,41,41,41,z,0.410163879395,2016_Jul_15_1448,
7.0,Green,113,0,42,42,42,m,0.29784989357,2016_Jul_15_1448,
3.0,Purple,113,0,43,43,43,m,0.314103126526,2016_Jul_15_1448,
1.0,Orange,113,0,44,44,44,m,0.537825107574,2016_Jul_15_1448,
8.0,DarkGray,113,0,45,45,45,m,0.425837993622,2016_Jul_15_1448,
6.0,Yellow,113,0,46,46,46,m,0.369794845581,2016_Jul_15_1448,
5.0,LightPink,113,0,47,47,47,m,0.346079826355,2016_Jul_15_1448,
7.0,Brown,113,0,48,48,48,m,0.346064090729,2016_Jul_15_1448,
3.0,Purple,113,0,49,49,49,m,0.353949069977,2016_Jul_15_1448,
9.0,Orange,113,0,50,50,50,m,0.313737869263,2016_Jul_15_1448,
2.0,DarkGray,113,0,51,51,51,m,0.305887937546,2016_Jul_15_1448,
4.0,Blue,113,0,52,52,52,m,0.289946079254,2016_Jul_15_1448,
1.0,Red,113,0,53,53,53,m,0.281754016876,2016_Jul_15_1448,
nan,nan,113,0,54,54,54,z,0.409964084625,2016_Jul_15_1448,
8.0,Green,113,0,55,55,55,m,0.32980799675,2016_Jul_15_1448,
6.0,Purple,113,0,56,56,56,m,0.322015047073,2016_Jul_15_1448,
9.0,Orange,113,0,57,57,57,m,0.305986881256,2016_Jul_15_1448,
2.0,DarkGray,113,0,58,58,58,m,0.321753978729,2016_Jul_15_1448,
4.0,Blue,113,0,59,59,59,m,0.44978094101,2016_Jul_15_1448,
5.0,Red,113,0,60,60,60,m,0.409661054611,2016_Jul_15_1448,
7.0,Green,113,0,61,61,61,m,0.401912927628,2016_Jul_15_1448,
3.0,Purple,113,0,62,62,62,m,0.345752954483,2016_Jul_15_1448,
1.0,Orange,113,0,63,63,63,m,0.329922199249,2016_Jul_15_1448,
8.0,DarkGray,113,0,64,64,64,m,0.329621076584,2016_Jul_15_1448,
6.0,Blue,113,0,65,65,65,m,0.31386089325,2016_Jul_15_1448,
9.0,Red,113,0,66,66,66,m,0.297544002533,2016_Jul_15_1448,
2.0,Green,113,0,67,67,67,m,0.329810142517,2016_Jul_15_1448,
4.0,Yellow,113,0,68,68,68,m,0.289522886276,2016_Jul_15_1448,
1.0,LightPink,113,0,69,69,69,m,0.289709806442,2016_Jul_15_1448,
8.0,Brown,113,0,70,70,70,m,0.3136510849,2016_Jul_15_1448,
6.0,Blue,113,0,71,71,71,m,0.281815052032,2016_Jul_15_1448,
5.0,Red,113,0,72,72,72,m,0.337517976761,2016_Jul_15_1448,
7.0,Green,113,0,73,73,73,m,0.305689096451,2016_Jul_15_1448,
nan,nan,113,0,74,74,74,z,0.401840925217,2016_Jul_15_1448,
3.0,Yellow,113,0,75,75,75,m,0.289632081985,2016_Jul_15_1448,
1.0,LightPink,113,0,76,76,76,m,0.281426906586,2016_Jul_15_1448,
nan,nan,113,0,77,77,77,z,0.417672872543,2016_Jul_15_1448,
8.0,Brown,113,0,78,78,78,m,0.28168296814,2016_Jul_15_1448,
6.0,Purple,113,0,79,79,79,m,0.297554016113,2016_Jul_15_1448,
9.0,Orange,113,0,80,80,80,m,0.321656942368,2016_Jul_15_1448,
nan,nan,113,0,81,81,81,z,0.337606191635,2016_Jul_15_1448,
2.0,DarkGray,113,0,82,82,82,m,0.30558514595,2016_Jul_15_1448,
4.0,Yellow,113,0,83,83,83,m,0.225388050079,2016_Jul_15_1448,
1.0,LightPink,113,0,84,84,84,m,0.249432086945,2016_Jul_15_1448,
8.0,Brown,113,0,85,85,85,m,0.249749898911,2016_Jul_15_1448,
6.0,Blue,113,0,86,86,86,m,0.257631063461,2016_Jul_15_1448,
5.0,Red,113,0,87,87,87,m,0.281563043594,2016_Jul_15_1448,
7.0,Green,113,0,88,88,88,m,0.273320913315,2016_Jul_15_1448,
3.0,Yellow,113,0,89,89,89,m,0.273344993591,2016_Jul_15_1448,
1.0,LightPink,113,0,90,90,90,m,0.297712087631,2016_Jul_15_1448,
8.0,Brown,113,0,91,91,91,m,0.265425205231,2016_Jul_15_1448,
nan,nan,113,0,92,92,92,z,0.321589946747,2016_Jul_15_1448,
6.0,Purple,113,0,93,93,93,m,0.329681158066,2016_Jul_15_1448,
5.0,Orange,113,0,94,94,94,m,0.233290910721,2016_Jul_15_1448,
7.0,DarkGray,113,0,95,95,95,m,0.209345817566,2016_Jul_15_1448,
3.0,Blue,113,0,96,96,96,m,0.241558074951,2016_Jul_15_1448,
1.0,Red,113,0,97,97,97,m,0.161401033401,2016_Jul_15_1448,
8.0,Green,113,0,98,98,98,m,0.129560947418,2016_Jul_15_1448,
6.0,Yellow,113,0,99,99,99,m,0.0894751548767,2016_Jul_15_1448,
5.0,LightPink,113,0,100,100,100,m,0.0732450485229,2016_Jul_15_1448,
7.0,Brown,113,0,101,101,101,m,0.073529958725,2016_Jul_15_1448,
