,d1,d2,d3,c1,c2,c3,participant
0,1,8,6,Purple,Orange,Gray,2
1,5,7,3,Yellow,Pink,Brown,2
2,9,2,4,Blue,Red,Green,2
3,5,7,3,Purple,Orange,Gray,2
4,1,8,6,Blue,Red,Green,2
5,5,7,3,Purple,Orange,Gray,2
6,1,8,6,Yellow,Pink,Brown,2
7,5,7,3,Blue,Red,Green,2
8,9,2,4,Purple,Orange,Gray,2
9,1,8,6,Blue,Red,Green,2
10,9,2,4,Yellow,Pink,Brown,2
11,1,8,6,Blue,Red,Green,2
12,9,2,4,Yellow,Pink,Brown,2
13,1,8,6,Purple,Orange,Gray,2
14,5,7,3,Blue,Red,Green,2
15,1,8,6,Purple,Orange,Gray,2
16,5,7,3,Yellow,Pink,Brown,2
17,1,8,6,Purple,Orange,Gray,2
18,5,7,3,Blue,Red,Green,2
19,1,8,6,Yellow,Pink,Brown,2
20,9,2,4,Blue,Red,Green,2
21,1,8,6,Purple,Orange,Gray,2
22,9,2,4,Blue,Red,Green,2
23,5,7,3,Purple,Orange,Gray,2
24,1,8,6,Blue,Red,Green,2
25,5,7,3,Yellow,Pink,Brown,2
26,9,2,4,Purple,Orange,Gray,2
27,1,8,6,Blue,Red,Green,2
28,5,7,3,Purple,Orange,Gray,2
29,9,2,4,Blue,Red,Green,2
30,1,8,6,Yellow,Pink,Brown,2
31,9,2,4,Purple,Orange,Gray,2
32,1,8,6,Yellow,Pink,Brown,2
33,9,2,4,Blue,Red,Green,2
34,1,8,6,Yellow,Pink,Brown,2
35,9,2,4,Purple,Orange,Gray,2
36,5,7,3,Blue,Red,Green,2
37,9,2,4,Yellow,Pink,Brown,2
38,5,7,3,Purple,Orange,Gray,2
39,1,8,6,Blue,Red,Green,2
40,9,2,4,Yellow,Pink,Brown,2
41,1,8,6,Purple,Orange,Gray,2
42,5,7,3,Blue,Red,Green,2
43,9,2,4,Purple,Orange,Gray,2
44,1,8,6,Blue,Red,Green,2
45,9,2,4,Yellow,Pink,Brown,2
46,5,7,3,Blue,Red,Green,2
47,1,8,6,Yellow,Pink,Brown,2
48,9,2,4,Purple,Orange,Gray,2
49,5,7,3,Yellow,Pink,Brown,2
50,1,8,6,Purple,Orange,Gray,2
51,9,2,4,Yellow,Pink,Brown,2
52,1,8,6,Purple,Orange,Gray,2
53,9,2,4,Yellow,Pink,Brown,2
54,5,7,3,Purple,Orange,Gray,2
55,9,2,4,Yellow,Pink,Brown,2
56,1,8,6,Blue,Red,Green,2
57,9,2,4,Yellow,Pink,Brown,2
58,1,8,6,Blue,Red,Green,2
59,5,7,3,Purple,Orange,Gray,2
60,1,8,6,Yellow,Pink,Brown,2
61,5,7,3,Blue,Red,Green,2
62,1,8,6,Yellow,Pink,Brown,2
63,5,7,3,Blue,Red,Green,2
64,1,8,6,Purple,Orange,Gray,2
65,9,2,4,Blue,Red,Green,2
66,1,8,6,Yellow,Pink,Brown,2
67,5,7,3,Purple,Orange,Gray,2
68,1,8,6,Yellow,Pink,Brown,2
69,5,7,3,Purple,Orange,Gray,2
70,1,8,6,Yellow,Pink,Brown,2
71,5,7,3,Purple,Orange,Gray,2
72,9,2,4,Yellow,Pink,Brown,2
73,1,8,6,Purple,Orange,Gray,2
74,9,2,4,Yellow,Pink,Brown,2
75,5,7,3,Purple,Orange,Gray,2
76,1,8,6,Yellow,Pink,Brown,2
77,9,2,4,Purple,Orange,Gray,2
78,5,7,3,Blue,Red,Green,2
79,9,2,4,Purple,Orange,Gray,2
80,1,8,6,Yellow,Pink,Brown,2
81,5,7,3,Blue,Red,Green,2
82,9,2,4,Purple,Orange,Gray,2
83,1,8,6,Yellow,Pink,Brown,2
84,5,7,3,Blue,Red,Green,2
85,9,2,4,Purple,Orange,Gray,2
86,5,7,3,Yellow,Pink,Brown,2
87,9,2,4,Blue,Red,Green,2
88,1,8,6,Purple,Orange,Gray,2
89,9,2,4,Blue,Red,Green,2
90,5,7,3,Yellow,Pink,Brown,2
91,9,2,4,Blue,Red,Green,2
92,5,7,3,Yellow,Pink,Brown,2
93,1,8,6,Blue,Red,Green,2
94,5,7,3,Yellow,Pink,Brown,2
95,9,2,4,Purple,Orange,Gray,2
96,5,7,3,Blue,Red,Green,2
97,1,8,6,Purple,Orange,Gray,2
98,9,2,4,Yellow,Pink,Brown,2
99,1,8,6,Blue,Red,Green,2
100,9,2,4,Yellow,Pink,Brown,2
101,1,8,6,Blue,Red,Green,2
102,9,2,4,Yellow,Pink,Brown,2
103,5,7,3,Blue,Red,Green,2
104,9,2,4,Purple,Orange,Gray,2
105,5,7,3,Yellow,Pink,Brown,2
106,1,8,6,Blue,Red,Green,2
107,5,7,3,Yellow,Pink,Brown,2
108,1,8,6,Blue,Red,Green,2
109,9,2,4,Purple,Orange,Gray,2
110,5,7,3,Yellow,Pink,Brown,2
111,1,8,6,Blue,Red,Green,2
112,9,2,4,Yellow,Pink,Brown,2
113,5,7,3,Purple,Orange,Gray,2
114,9,2,4,Blue,Red,Green,2
115,1,8,6,Yellow,Pink,Brown,2
116,5,7,3,Purple,Orange,Gray,2
117,9,2,4,Blue,Red,Green,2
118,5,7,3,Purple,Orange,Gray,2
119,9,2,4,Blue,Red,Green,2
120,5,7,3,Yellow,Pink,Brown,2
121,1,8,6,Purple,Orange,Gray,2
122,5,7,3,Yellow,Pink,Brown,2
123,9,2,4,Purple,Orange,Gray,2
124,5,7,3,Blue,Red,Green,2
125,9,2,4,Purple,Orange,Gray,2
126,1,8,6,Blue,Red,Green,2
127,9,2,4,Purple,Orange,Gray,2
128,5,7,3,Blue,Red,Green,2
129,9,2,4,Yellow,Pink,Brown,2
130,5,7,3,Blue,Red,Green,2
131,1,8,6,Purple,Orange,Gray,2
132,5,7,3,Yellow,Pink,Brown,2
133,9,2,4,Purple,Orange,Gray,2
134,5,7,3,Blue,Red,Green,2
