,d1,d2,d3,c1,c2,c3,participant
0,9,2,4,Yellow,Pink,Brown,1
1,5,7,3,Purple,Orange,Gray,1
2,1,8,6,Blue,Red,Green,1
3,9,2,4,Yellow,Pink,Brown,1
4,1,8,6,Blue,Red,Green,1
5,9,2,4,Purple,Orange,Gray,1
6,1,8,6,Blue,Red,Green,1
7,9,2,4,Purple,Orange,Gray,1
8,5,7,3,Yellow,Pink,Brown,1
9,1,8,6,Purple,Orange,Gray,1
10,5,7,3,Blue,Red,Green,1
11,9,2,4,Yellow,Pink,Brown,1
12,1,8,6,Blue,Red,Green,1
13,5,7,3,Yellow,Pink,Brown,1
14,1,8,6,Purple,Orange,Gray,1
15,5,7,3,Blue,Red,Green,1
16,1,8,6,Yellow,Pink,Brown,1
17,9,2,4,Blue,Red,Green,1
18,1,8,6,Yellow,Pink,Brown,1
19,9,2,4,Blue,Red,Green,1
20,5,7,3,Yellow,Pink,Brown,1
21,9,2,4,Purple,Orange,Gray,1
22,1,8,6,Yellow,Pink,Brown,1
23,5,7,3,Purple,Orange,Gray,1
24,9,2,4,Yellow,Pink,Brown,1
25,5,7,3,Purple,Orange,Gray,1
26,9,2,4,Blue,Red,Green,1
27,1,8,6,Yellow,Pink,Brown,1
28,9,2,4,Blue,Red,Green,1
29,1,8,6,Purple,Orange,Gray,1
30,9,2,4,Blue,Red,Green,1
31,1,8,6,Yellow,Pink,Brown,1
32,5,7,3,Purple,Orange,Gray,1
33,1,8,6,Blue,Red,Green,1
34,5,7,3,Yellow,Pink,Brown,1
35,9,2,4,Blue,Red,Green,1
36,1,8,6,Yellow,Pink,Brown,1
37,9,2,4,Purple,Orange,Gray,1
38,5,7,3,Blue,Red,Green,1
39,9,2,4,Yellow,Pink,Brown,1
40,5,7,3,Blue,Red,Green,1
41,1,8,6,Yellow,Pink,Brown,1
42,9,2,4,Blue,Red,Green,1
43,5,7,3,Purple,Orange,Gray,1
44,1,8,6,Blue,Red,Green,1
45,9,2,4,Yellow,Pink,Brown,1
46,1,8,6,Blue,Red,Green,1
47,9,2,4,Purple,Orange,Gray,1
48,5,7,3,Blue,Red,Green,1
49,1,8,6,Yellow,Pink,Brown,1
50,5,7,3,Blue,Red,Green,1
51,9,2,4,Purple,Orange,Gray,1
52,1,8,6,Blue,Red,Green,1
53,9,2,4,Purple,Orange,Gray,1
54,1,8,6,Yellow,Pink,Brown,1
55,5,7,3,Purple,Orange,Gray,1
56,1,8,6,Yellow,Pink,Brown,1
57,5,7,3,Purple,Orange,Gray,1
58,1,8,6,Blue,Red,Green,1
59,9,2,4,Yellow,Pink,Brown,1
60,1,8,6,Purple,Orange,Gray,1
61,5,7,3,Blue,Red,Green,1
62,9,2,4,Yellow,Pink,Brown,1
63,5,7,3,Purple,Orange,Gray,1
64,9,2,4,Yellow,Pink,Brown,1
65,5,7,3,Blue,Red,Green,1
66,1,8,6,Purple,Orange,Gray,1
67,9,2,4,Yellow,Pink,Brown,1
68,5,7,3,Purple,Orange,Gray,1
69,9,2,4,Blue,Red,Green,1
70,1,8,6,Purple,Orange,Gray,1
71,5,7,3,Blue,Red,Green,1
72,9,2,4,Purple,Orange,Gray,1
73,5,7,3,Blue,Red,Green,1
74,9,2,4,Purple,Orange,Gray,1
75,1,8,6,Blue,Red,Green,1
76,5,7,3,Yellow,Pink,Brown,1
77,1,8,6,Blue,Red,Green,1
78,5,7,3,Purple,Orange,Gray,1
79,1,8,6,Yellow,Pink,Brown,1
80,9,2,4,Blue,Red,Green,1
81,5,7,3,Purple,Orange,Gray,1
82,9,2,4,Blue,Red,Green,1
83,5,7,3,Purple,Orange,Gray,1
84,9,2,4,Blue,Red,Green,1
85,5,7,3,Yellow,Pink,Brown,1
86,9,2,4,Blue,Red,Green,1
87,1,8,6,Yellow,Pink,Brown,1
88,5,7,3,Purple,Orange,Gray,1
89,1,8,6,Yellow,Pink,Brown,1
90,5,7,3,Blue,Red,Green,1
91,9,2,4,Purple,Orange,Gray,1
92,5,7,3,Yellow,Pink,Brown,1
93,1,8,6,Blue,Red,Green,1
94,5,7,3,Yellow,Pink,Brown,1
95,9,2,4,Blue,Red,Green,1
96,5,7,3,Purple,Orange,Gray,1
97,1,8,6,Yellow,Pink,Brown,1
98,5,7,3,Blue,Red,Green,1
99,9,2,4,Purple,Orange,Gray,1
100,1,8,6,Blue,Red,Green,1
101,9,2,4,Purple,Orange,Gray,1
102,5,7,3,Yellow,Pink,Brown,1
103,1,8,6,Blue,Red,Green,1
104,5,7,3,Yellow,Pink,Brown,1
105,9,2,4,Purple,Orange,Gray,1
106,5,7,3,Yellow,Pink,Brown,1
107,1,8,6,Purple,Orange,Gray,1
108,5,7,3,Yellow,Pink,Brown,1
109,1,8,6,Purple,Orange,Gray,1
110,5,7,3,Yellow,Pink,Brown,1
111,1,8,6,Purple,Orange,Gray,1
112,9,2,4,Yellow,Pink,Brown,1
113,1,8,6,Purple,Orange,Gray,1
