,d1,d2,d3,c1,c2,c3,participant
0,1,8,6,Blue,Red,Green,6
1,9,2,4,Yellow,Pink,Brown,6
2,5,7,3,Blue,Red,Green,6
3,1,8,6,Yellow,Pink,Brown,6
4,5,7,3,Blue,Red,Green,6
5,1,8,6,Purple,Orange,Gray,6
6,9,2,4,Yellow,Pink,Brown,6
7,5,7,3,Purple,Orange,Gray,6
8,1,8,6,Blue,Red,Green,6
9,5,7,3,Purple,Orange,Gray,6
10,9,2,4,Blue,Red,Green,6
11,1,8,6,Purple,Orange,Gray,6
12,5,7,3,Blue,Red,Green,6
13,9,2,4,Purple,Orange,Gray,6
14,5,7,3,Yellow,Pink,Brown,6
15,9,2,4,Blue,Red,Green,6
16,1,8,6,Purple,Orange,Gray,6
17,9,2,4,Blue,Red,Green,6
18,5,7,3,Purple,Orange,Gray,6
19,9,2,4,Yellow,Pink,Brown,6
20,1,8,6,Purple,Orange,Gray,6
21,9,2,4,Yellow,Pink,Brown,6
22,1,8,6,Blue,Red,Green,6
23,9,2,4,Purple,Orange,Gray,6
24,1,8,6,Yellow,Pink,Brown,6
25,9,2,4,Blue,Red,Green,6
26,5,7,3,Yellow,Pink,Brown,6
27,1,8,6,Blue,Red,Green,6
28,9,2,4,Yellow,Pink,Brown,6
29,1,8,6,Purple,Orange,Gray,6
30,5,7,3,Blue,Red,Green,6
31,1,8,6,Purple,Orange,Gray,6
32,9,2,4,Blue,Red,Green,6
33,1,8,6,Yellow,Pink,Brown,6
34,9,2,4,Blue,Red,Green,6
35,5,7,3,Yellow,Pink,Brown,6
36,1,8,6,Purple,Orange,Gray,6
37,5,7,3,Blue,Red,Green,6
38,9,2,4,Yellow,Pink,Brown,6
39,5,7,3,Purple,Orange,Gray,6
40,1,8,6,Blue,Red,Green,6
41,9,2,4,Yellow,Pink,Brown,6
42,5,7,3,Blue,Red,Green,6
43,9,2,4,Purple,Orange,Gray,6
44,5,7,3,Blue,Red,Green,6
45,9,2,4,Yellow,Pink,Brown,6
46,5,7,3,Blue,Red,Green,6
47,1,8,6,Purple,Orange,Gray,6
48,9,2,4,Blue,Red,Green,6
49,1,8,6,Purple,Orange,Gray,6
50,9,2,4,Blue,Red,Green,6
51,5,7,3,Yellow,Pink,Brown,6
52,1,8,6,Blue,Red,Green,6
53,9,2,4,Purple,Orange,Gray,6
54,5,7,3,Blue,Red,Green,6
55,1,8,6,Purple,Orange,Gray,6
56,5,7,3,Yellow,Pink,Brown,6
57,9,2,4,Blue,Red,Green,6
58,5,7,3,Yellow,Pink,Brown,6
59,1,8,6,Blue,Red,Green,6
60,9,2,4,Yellow,Pink,Brown,6
61,5,7,3,Blue,Red,Green,6
62,9,2,4,Purple,Orange,Gray,6
63,1,8,6,Blue,Red,Green,6
64,9,2,4,Purple,Orange,Gray,6
65,1,8,6,Blue,Red,Green,6
66,5,7,3,Yellow,Pink,Brown,6
67,9,2,4,Blue,Red,Green,6
68,5,7,3,Purple,Orange,Gray,6
69,1,8,6,Yellow,Pink,Brown,6
70,5,7,3,Purple,Orange,Gray,6
71,1,8,6,Yellow,Pink,Brown,6
72,9,2,4,Purple,Orange,Gray,6
73,5,7,3,Yellow,Pink,Brown,6
74,9,2,4,Blue,Red,Green,6
75,5,7,3,Purple,Orange,Gray,6
76,9,2,4,Blue,Red,Green,6
77,5,7,3,Purple,Orange,Gray,6
78,1,8,6,Yellow,Pink,Brown,6
79,9,2,4,Purple,Orange,Gray,6
80,5,7,3,Yellow,Pink,Brown,6
81,9,2,4,Purple,Orange,Gray,6
82,1,8,6,Yellow,Pink,Brown,6
83,5,7,3,Blue,Red,Green,6
84,1,8,6,Purple,Orange,Gray,6
85,5,7,3,Yellow,Pink,Brown,6
86,1,8,6,Purple,Orange,Gray,6
87,9,2,4,Blue,Red,Green,6
88,1,8,6,Yellow,Pink,Brown,6
89,5,7,3,Purple,Orange,Gray,6
90,1,8,6,Yellow,Pink,Brown,6
91,5,7,3,Purple,Orange,Gray,6
92,1,8,6,Blue,Red,Green,6
93,9,2,4,Purple,Orange,Gray,6
94,1,8,6,Yellow,Pink,Brown,6
95,5,7,3,Purple,Orange,Gray,6
96,9,2,4,Yellow,Pink,Brown,6
97,1,8,6,Purple,Orange,Gray,6
98,5,7,3,Blue,Red,Green,6
99,1,8,6,Purple,Orange,Gray,6
100,5,7,3,Yellow,Pink,Brown,6
101,9,2,4,Purple,Orange,Gray,6
102,5,7,3,Blue,Red,Green,6
103,1,8,6,Purple,Orange,Gray,6
104,5,7,3,Yellow,Pink,Brown,6
105,1,8,6,Purple,Orange,Gray,6
106,5,7,3,Yellow,Pink,Brown,6
107,1,8,6,Purple,Orange,Gray,6
108,9,2,4,Yellow,Pink,Brown,6
109,1,8,6,Blue,Red,Green,6
110,5,7,3,Yellow,Pink,Brown,6
111,9,2,4,Blue,Red,Green,6
112,5,7,3,Yellow,Pink,Brown,6
113,9,2,4,Blue,Red,Green,6
114,1,8,6,Yellow,Pink,Brown,6
115,9,2,4,Purple,Orange,Gray,6
116,5,7,3,Yellow,Pink,Brown,6
117,9,2,4,Blue,Red,Green,6
118,5,7,3,Yellow,Pink,Brown,6
119,9,2,4,Purple,Orange,Gray,6
120,5,7,3,Blue,Red,Green,6
121,1,8,6,Yellow,Pink,Brown,6
122,5,7,3,Blue,Red,Green,6
123,9,2,4,Yellow,Pink,Brown,6
124,5,7,3,Blue,Red,Green,6
125,1,8,6,Yellow,Pink,Brown,6
126,9,2,4,Blue,Red,Green,6
127,5,7,3,Purple,Orange,Gray,6
128,1,8,6,Blue,Red,Green,6
129,9,2,4,Yellow,Pink,Brown,6
130,1,8,6,Purple,Orange,Gray,6
131,9,2,4,Yellow,Pink,Brown,6
132,1,8,6,Purple,Orange,Gray,6
133,9,2,4,Yellow,Pink,Brown,6
