,d1,d2,d3,c1,c2,c3,participant
0,1,8,6,Yellow,Pink,Brown,3
1,9,2,4,Blue,Red,Green,3
2,5,7,3,Yellow,Pink,Brown,3
3,1,8,6,Purple,Orange,Gray,3
4,9,2,4,Blue,Red,Green,3
5,5,7,3,Purple,Orange,Gray,3
6,9,2,4,Blue,Red,Green,3
7,1,8,6,Purple,Orange,Gray,3
8,9,2,4,Yellow,Pink,Brown,3
9,5,7,3,Blue,Red,Green,3
10,1,8,6,Yellow,Pink,Brown,3
11,5,7,3,Purple,Orange,Gray,3
12,1,8,6,Blue,Red,Green,3
13,5,7,3,Purple,Orange,Gray,3
14,1,8,6,Blue,Red,Green,3
15,9,2,4,Yellow,Pink,Brown,3
16,5,7,3,Purple,Orange,Gray,3
17,9,2,4,Yellow,Pink,Brown,3
18,5,7,3,Purple,Orange,Gray,3
19,1,8,6,Yellow,Pink,Brown,3
20,5,7,3,Purple,Orange,Gray,3
21,9,2,4,Yellow,Pink,Brown,3
22,1,8,6,Blue,Red,Green,3
23,5,7,3,Yellow,Pink,Brown,3
24,9,2,4,Purple,Orange,Gray,3
25,1,8,6,Blue,Red,Green,3
26,9,2,4,Yellow,Pink,Brown,3
27,1,8,6,Blue,Red,Green,3
28,5,7,3,Yellow,Pink,Brown,3
29,1,8,6,Purple,Orange,Gray,3
30,5,7,3,Yellow,Pink,Brown,3
31,1,8,6,Purple,Orange,Gray,3
32,9,2,4,Yellow,Pink,Brown,3
33,5,7,3,Blue,Red,Green,3
34,9,2,4,Purple,Orange,Gray,3
35,5,7,3,Blue,Red,Green,3
36,1,8,6,Purple,Orange,Gray,3
37,9,2,4,Yellow,Pink,Brown,3
38,5,7,3,Blue,Red,Green,3
39,9,2,4,Purple,Orange,Gray,3
40,1,8,6,Yellow,Pink,Brown,3
41,9,2,4,Blue,Red,Green,3
42,1,8,6,Purple,Orange,Gray,3
43,5,7,3,Blue,Red,Green,3
44,9,2,4,Purple,Orange,Gray,3
45,1,8,6,Blue,Red,Green,3
46,9,2,4,Yellow,Pink,Brown,3
47,1,8,6,Purple,Orange,Gray,3
