,d1,d2,d3,c1,c2,c3,participant
0,5,7,3,Yellow,Pink,Brown,4
1,1,8,6,Purple,Orange,Gray,4
2,9,2,4,Yellow,Pink,Brown,4
3,1,8,6,Purple,Orange,Gray,4
4,9,2,4,Yellow,Pink,Brown,4
5,1,8,6,Blue,Red,Green,4
6,5,7,3,Purple,Orange,Gray,4
7,1,8,6,Blue,Red,Green,4
8,5,7,3,Purple,Orange,Gray,4
9,1,8,6,Yellow,Pink,Brown,4
10,9,2,4,Blue,Red,Green,4
11,5,7,3,Purple,Orange,Gray,4
12,9,2,4,Blue,Red,Green,4
13,1,8,6,Purple,Orange,Gray,4
14,5,7,3,Blue,Red,Green,4
15,9,2,4,Purple,Orange,Gray,4
16,1,8,6,Blue,Red,Green,4
17,9,2,4,Purple,Orange,Gray,4
18,1,8,6,Yellow,Pink,Brown,4
19,9,2,4,Blue,Red,Green,4
20,1,8,6,Purple,Orange,Gray,4
21,9,2,4,Yellow,Pink,Brown,4
22,5,7,3,Blue,Red,Green,4
23,1,8,6,Purple,Orange,Gray,4
24,9,2,4,Blue,Red,Green,4
25,5,7,3,Purple,Orange,Gray,4
26,9,2,4,Yellow,Pink,Brown,4
27,1,8,6,Blue,Red,Green,4
28,9,2,4,Purple,Orange,Gray,4
29,5,7,3,Blue,Red,Green,4
30,1,8,6,Yellow,Pink,Brown,4
31,9,2,4,Blue,Red,Green,4
32,1,8,6,Purple,Orange,Gray,4
33,9,2,4,Yellow,Pink,Brown,4
34,5,7,3,Purple,Orange,Gray,4
35,1,8,6,Yellow,Pink,Brown,4
36,5,7,3,Blue,Red,Green,4
37,1,8,6,Purple,Orange,Gray,4
38,5,7,3,Yellow,Pink,Brown,4
39,1,8,6,Purple,Orange,Gray,4
40,9,2,4,Yellow,Pink,Brown,4
41,5,7,3,Purple,Orange,Gray,4
42,1,8,6,Blue,Red,Green,4
43,9,2,4,Purple,Orange,Gray,4
44,1,8,6,Yellow,Pink,Brown,4
45,5,7,3,Purple,Orange,Gray,4
46,1,8,6,Yellow,Pink,Brown,4
47,9,2,4,Blue,Red,Green,4
48,1,8,6,Yellow,Pink,Brown,4
49,9,2,4,Blue,Red,Green,4
50,5,7,3,Purple,Orange,Gray,4
51,9,2,4,Blue,Red,Green,4
52,5,7,3,Yellow,Pink,Brown,4
53,9,2,4,Blue,Red,Green,4
54,1,8,6,Purple,Orange,Gray,4
55,9,2,4,Yellow,Pink,Brown,4
56,1,8,6,Blue,Red,Green,4
57,5,7,3,Purple,Orange,Gray,4
58,9,2,4,Blue,Red,Green,4
59,1,8,6,Purple,Orange,Gray,4
60,9,2,4,Yellow,Pink,Brown,4
61,1,8,6,Blue,Red,Green,4
62,5,7,3,Yellow,Pink,Brown,4
63,9,2,4,Blue,Red,Green,4
64,1,8,6,Purple,Orange,Gray,4
65,5,7,3,Yellow,Pink,Brown,4
66,9,2,4,Blue,Red,Green,4
67,1,8,6,Yellow,Pink,Brown,4
68,9,2,4,Blue,Red,Green,4
69,5,7,3,Purple,Orange,Gray,4
70,9,2,4,Yellow,Pink,Brown,4
71,5,7,3,Blue,Red,Green,4
72,1,8,6,Purple,Orange,Gray,4
73,9,2,4,Blue,Red,Green,4
74,5,7,3,Purple,Orange,Gray,4
75,1,8,6,Yellow,Pink,Brown,4
76,5,7,3,Blue,Red,Green,4
77,1,8,6,Yellow,Pink,Brown,4
78,5,7,3,Blue,Red,Green,4
79,9,2,4,Yellow,Pink,Brown,4
80,5,7,3,Purple,Orange,Gray,4
81,9,2,4,Blue,Red,Green,4
82,5,7,3,Yellow,Pink,Brown,4
83,9,2,4,Purple,Orange,Gray,4
84,1,8,6,Yellow,Pink,Brown,4
85,9,2,4,Blue,Red,Green,4
86,5,7,3,Yellow,Pink,Brown,4
87,9,2,4,Purple,Orange,Gray,4
88,1,8,6,Blue,Red,Green,4
