,d1,d2,d3,c1,c2,c3,participant
0,5.0,7.0,3.0,Yellow,Pink,Brown,1
1,1.0,8.0,6.0,Purple,Orange,Gray,1
2,5.0,7.0,3.0,Yellow,Pink,Brown,1
3,1.0,8.0,6.0,Blue,Red,Green,1
4,5.0,7.0,3.0,Purple,Orange,Gray,1
5,9.0,2.0,4.0,Blue,Red,Green,1
6,5.0,7.0,3.0,Purple,Orange,Gray,1
7,9.0,2.0,4.0,Yellow,Pink,Brown,1
8,5.0,7.0,3.0,Blue,Red,Green,1
9,1.0,8.0,6.0,Purple,Orange,Gray,1
10,9.0,2.0,4.0,Yellow,Pink,Brown,1
11,,,,,,,1
12,1.0,8.0,6.0,Purple,Orange,Gray,1
13,5.0,7.0,3.0,Yellow,Pink,Brown,1
14,1.0,8.0,6.0,Blue,Red,Green,1
15,9.0,2.0,4.0,Yellow,Pink,Brown,1
16,1.0,8.0,6.0,Blue,Red,Green,1
17,,,,,,,1
18,9.0,2.0,4.0,Yellow,Pink,Brown,1
19,5.0,7.0,3.0,Blue,Red,Green,1
20,1.0,8.0,6.0,Purple,Orange,Gray,1
21,9.0,2.0,4.0,Blue,Red,Green,1
22,1.0,8.0,6.0,Purple,Orange,Gray,1
23,5.0,7.0,3.0,Blue,Red,Green,1
24,9.0,2.0,4.0,Purple,Orange,Gray,1
25,5.0,7.0,3.0,Blue,Red,Green,1
26,,,,,,,1
27,9.0,2.0,4.0,Purple,Orange,Gray,1
28,1.0,8.0,6.0,Yellow,Pink,Brown,1
29,5.0,7.0,3.0,Blue,Red,Green,1
30,9.0,2.0,4.0,Yellow,Pink,Brown,1
31,1.0,8.0,6.0,Blue,Red,Green,1
32,5.0,7.0,3.0,Yellow,Pink,Brown,1
33,9.0,2.0,4.0,Blue,Red,Green,1
34,1.0,8.0,6.0,Purple,Orange,Gray,1
35,9.0,2.0,4.0,Blue,Red,Green,1
36,,,,,,,1
37,1.0,8.0,6.0,Yellow,Pink,Brown,1
38,5.0,7.0,3.0,Blue,Red,Green,1
39,1.0,8.0,6.0,Yellow,Pink,Brown,1
40,5.0,7.0,3.0,Blue,Red,Green,1
41,1.0,8.0,6.0,Yellow,Pink,Brown,1
42,5.0,7.0,3.0,Purple,Orange,Gray,1
43,9.0,2.0,4.0,Blue,Red,Green,1
44,1.0,8.0,6.0,Yellow,Pink,Brown,1
45,9.0,2.0,4.0,Purple,Orange,Gray,1
46,5.0,7.0,3.0,Blue,Red,Green,1
47,9.0,2.0,4.0,Purple,Orange,Gray,1
48,5.0,7.0,3.0,Yellow,Pink,Brown,1
49,1.0,8.0,6.0,Blue,Red,Green,1
50,5.0,7.0,3.0,Purple,Orange,Gray,1
51,,,,,,,1
52,1.0,8.0,6.0,Blue,Red,Green,1
53,9.0,2.0,4.0,Purple,Orange,Gray,1
54,1.0,8.0,6.0,Blue,Red,Green,1
55,5.0,7.0,3.0,Yellow,Pink,Brown,1
56,1.0,8.0,6.0,Blue,Red,Green,1
57,,,,,,,1
58,5.0,7.0,3.0,Yellow,Pink,Brown,1
59,9.0,2.0,4.0,Purple,Orange,Gray,1
60,,,,,,,1
61,1.0,8.0,6.0,Blue,Red,Green,1
62,9.0,2.0,4.0,Yellow,Pink,Brown,1
63,5.0,7.0,3.0,Blue,Red,Green,1
64,1.0,8.0,6.0,Yellow,Pink,Brown,1
65,9.0,2.0,4.0,Purple,Orange,Gray,1
66,,,,,,,1
67,1.0,8.0,6.0,Blue,Red,Green,1
68,9.0,2.0,4.0,Yellow,Pink,Brown,1
69,1.0,8.0,6.0,Purple,Orange,Gray,1
70,5.0,7.0,3.0,Blue,Red,Green,1
71,9.0,2.0,4.0,Yellow,Pink,Brown,1
72,1.0,8.0,6.0,Blue,Red,Green,1
73,5.0,7.0,3.0,Purple,Orange,Gray,1
74,1.0,8.0,6.0,Blue,Red,Green,1
75,9.0,2.0,4.0,Yellow,Pink,Brown,1
76,1.0,8.0,6.0,Blue,Red,Green,1
77,5.0,7.0,3.0,Yellow,Pink,Brown,1
78,9.0,2.0,4.0,Purple,Orange,Gray,1
79,1.0,8.0,6.0,Yellow,Pink,Brown,1
80,5.0,7.0,3.0,Blue,Red,Green,1
81,1.0,8.0,6.0,Purple,Orange,Gray,1
82,9.0,2.0,4.0,Blue,Red,Green,1
83,1.0,8.0,6.0,Purple,Orange,Gray,1
84,5.0,7.0,3.0,Yellow,Pink,Brown,1
85,1.0,8.0,6.0,Purple,Orange,Gray,1
86,5.0,7.0,3.0,Yellow,Pink,Brown,1
87,9.0,2.0,4.0,Blue,Red,Green,1
88,1.0,8.0,6.0,Yellow,Pink,Brown,1
89,9.0,2.0,4.0,Purple,Orange,Gray,1
90,5.0,7.0,3.0,Yellow,Pink,Brown,1
91,9.0,2.0,4.0,Purple,Orange,Gray,1
92,1.0,8.0,6.0,Blue,Red,Green,1
93,9.0,2.0,4.0,Purple,Orange,Gray,1
94,5.0,7.0,3.0,Blue,Red,Green,1
95,1.0,8.0,6.0,Yellow,Pink,Brown,1
96,5.0,7.0,3.0,Purple,Orange,Gray,1
97,1.0,8.0,6.0,Blue,Red,Green,1
98,5.0,7.0,3.0,Purple,Orange,Gray,1
99,1.0,8.0,6.0,Yellow,Pink,Brown,1
100,9.0,2.0,4.0,Purple,Orange,Gray,1
101,5.0,7.0,3.0,Yellow,Pink,Brown,1
102,9.0,2.0,4.0,Purple,Orange,Gray,1
103,1.0,8.0,6.0,Blue,Red,Green,1
104,9.0,2.0,4.0,Yellow,Pink,Brown,1
105,5.0,7.0,3.0,Purple,Orange,Gray,1
106,9.0,2.0,4.0,Yellow,Pink,Brown,1
107,5.0,7.0,3.0,Purple,Orange,Gray,1
108,9.0,2.0,4.0,Yellow,Pink,Brown,1
109,5.0,7.0,3.0,Blue,Red,Green,1
110,,,,,,,1
111,9.0,2.0,4.0,Purple,Orange,Gray,1
112,5.0,7.0,3.0,Yellow,Pink,Brown,1
113,9.0,2.0,4.0,Blue,Red,Green,1
114,,,,,,,1
115,1.0,8.0,6.0,Purple,Orange,Gray,1
116,,,,,,,1
117,9.0,2.0,4.0,Yellow,Pink,Brown,1
118,5.0,7.0,3.0,Blue,Red,Green,1
119,9.0,2.0,4.0,Yellow,Pink,Brown,1
120,1.0,8.0,6.0,Blue,Red,Green,1
121,9.0,2.0,4.0,Purple,Orange,Gray,1
122,5.0,7.0,3.0,Yellow,Pink,Brown,1
123,9.0,2.0,4.0,Purple,Orange,Gray,1
124,5.0,7.0,3.0,Blue,Red,Green,1
125,1.0,8.0,6.0,Yellow,Pink,Brown,1
126,9.0,2.0,4.0,Blue,Red,Green,1
127,1.0,8.0,6.0,Purple,Orange,Gray,1
128,5.0,7.0,3.0,Yellow,Pink,Brown,1
129,9.0,2.0,4.0,Purple,Orange,Gray,1
130,5.0,7.0,3.0,Yellow,Pink,Brown,1
131,1.0,8.0,6.0,Purple,Orange,Gray,1
132,9.0,2.0,4.0,Yellow,Pink,Brown,1
133,1.0,8.0,6.0,Purple,Orange,Gray,1
134,5.0,7.0,3.0,Blue,Red,Green,1
135,,,,,,,1
136,9.0,2.0,4.0,Purple,Orange,Gray,1
137,5.0,7.0,3.0,Blue,Red,Green,1
138,1.0,8.0,6.0,Purple,Orange,Gray,1
139,5.0,7.0,3.0,Blue,Red,Green,1
140,1.0,8.0,6.0,Purple,Orange,Gray,1
141,9.0,2.0,4.0,Yellow,Pink,Brown,1
142,1.0,8.0,6.0,Blue,Red,Green,1
143,9.0,2.0,4.0,Yellow,Pink,Brown,1
144,5.0,7.0,3.0,Purple,Orange,Gray,1
145,9.0,2.0,4.0,Yellow,Pink,Brown,1
146,5.0,7.0,3.0,Purple,Orange,Gray,1
147,,,,,,,1
