,d1,d2,d3,c1,c2,c3,participant
0,1,8,6,Yellow,Pink,Brown,7
1,5,7,3,Purple,Orange,Gray,7
2,1,8,6,Blue,Red,Green,7
3,5,7,3,Yellow,Pink,Brown,7
4,9,2,4,Blue,Red,Green,7
5,5,7,3,Yellow,Pink,Brown,7
6,9,2,4,Blue,Red,Green,7
7,1,8,6,Purple,Orange,Gray,7
8,9,2,4,Blue,Red,Green,7
9,5,7,3,Yellow,Pink,Brown,7
10,9,2,4,Blue,Red,Green,7
11,5,7,3,Yellow,Pink,Brown,7
12,9,2,4,Purple,Orange,Gray,7
13,5,7,3,Yellow,Pink,Brown,7
14,9,2,4,Blue,Red,Green,7
15,1,8,6,Purple,Orange,Gray,7
16,9,2,4,Blue,Red,Green,7
17,1,8,6,Purple,Orange,Gray,7
18,9,2,4,Blue,Red,Green,7
19,1,8,6,Yellow,Pink,Brown,7
20,5,7,3,Blue,Red,Green,7
21,9,2,4,Purple,Orange,Gray,7
22,1,8,6,Yellow,Pink,Brown,7
23,9,2,4,Purple,Orange,Gray,7
24,1,8,6,Yellow,Pink,Brown,7
25,5,7,3,Purple,Orange,Gray,7
26,1,8,6,Yellow,Pink,Brown,7
27,5,7,3,Blue,Red,Green,7
28,1,8,6,Yellow,Pink,Brown,7
29,5,7,3,Blue,Red,Green,7
30,1,8,6,Yellow,Pink,Brown,7
31,9,2,4,Purple,Orange,Gray,7
32,1,8,6,Blue,Red,Green,7
33,5,7,3,Purple,Orange,Gray,7
34,1,8,6,Blue,Red,Green,7
35,9,2,4,Yellow,Pink,Brown,7
36,5,7,3,Purple,Orange,Gray,7
37,1,8,6,Yellow,Pink,Brown,7
38,9,2,4,Purple,Orange,Gray,7
39,1,8,6,Yellow,Pink,Brown,7
40,9,2,4,Purple,Orange,Gray,7
41,5,7,3,Blue,Red,Green,7
42,1,8,6,Yellow,Pink,Brown,7
43,9,2,4,Purple,Orange,Gray,7
44,1,8,6,Blue,Red,Green,7
45,9,2,4,Purple,Orange,Gray,7
46,5,7,3,Blue,Red,Green,7
47,9,2,4,Purple,Orange,Gray,7
48,1,8,6,Yellow,Pink,Brown,7
49,5,7,3,Purple,Orange,Gray,7
50,9,2,4,Blue,Red,Green,7
51,5,7,3,Yellow,Pink,Brown,7
52,9,2,4,Purple,Orange,Gray,7
53,5,7,3,Blue,Red,Green,7
54,9,2,4,Purple,Orange,Gray,7
55,5,7,3,Blue,Red,Green,7
56,9,2,4,Yellow,Pink,Brown,7
57,1,8,6,Blue,Red,Green,7
58,5,7,3,Purple,Orange,Gray,7
59,1,8,6,Yellow,Pink,Brown,7
60,5,7,3,Blue,Red,Green,7
61,9,2,4,Purple,Orange,Gray,7
62,1,8,6,Yellow,Pink,Brown,7
63,9,2,4,Blue,Red,Green,7
64,1,8,6,Yellow,Pink,Brown,7
65,5,7,3,Blue,Red,Green,7
66,1,8,6,Yellow,Pink,Brown,7
67,9,2,4,Purple,Orange,Gray,7
68,5,7,3,Blue,Red,Green,7
69,1,8,6,Yellow,Pink,Brown,7
70,9,2,4,Blue,Red,Green,7
71,5,7,3,Yellow,Pink,Brown,7
72,1,8,6,Purple,Orange,Gray,7
73,9,2,4,Yellow,Pink,Brown,7
74,1,8,6,Blue,Red,Green,7
75,9,2,4,Purple,Orange,Gray,7
76,5,7,3,Yellow,Pink,Brown,7
77,1,8,6,Purple,Orange,Gray,7
78,5,7,3,Blue,Red,Green,7
79,9,2,4,Purple,Orange,Gray,7
80,5,7,3,Yellow,Pink,Brown,7
81,1,8,6,Purple,Orange,Gray,7
82,5,7,3,Blue,Red,Green,7
83,1,8,6,Yellow,Pink,Brown,7
84,5,7,3,Purple,Orange,Gray,7
85,9,2,4,Blue,Red,Green,7
86,1,8,6,Purple,Orange,Gray,7
87,5,7,3,Blue,Red,Green,7
88,1,8,6,Purple,Orange,Gray,7
89,5,7,3,Blue,Red,Green,7
90,1,8,6,Purple,Orange,Gray,7
91,5,7,3,Blue,Red,Green,7
