,d1,d2,d3,c1,c2,c3,participant
0,9,2,4,Blue,Red,Green,5
1,5,7,3,Yellow,Pink,Brown,5
2,1,8,6,Purple,Orange,Gray,5
3,5,7,3,Blue,Red,Green,5
4,1,8,6,Yellow,Pink,Brown,5
5,5,7,3,Purple,Orange,Gray,5
6,9,2,4,Blue,Red,Green,5
7,5,7,3,Purple,Orange,Gray,5
8,1,8,6,Blue,Red,Green,5
9,9,2,4,Purple,Orange,Gray,5
10,1,8,6,Blue,Red,Green,5
11,9,2,4,Yellow,Pink,Brown,5
12,5,7,3,Purple,Orange,Gray,5
13,9,2,4,Blue,Red,Green,5
14,5,7,3,Purple,Orange,Gray,5
15,9,2,4,Yellow,Pink,Brown,5
16,5,7,3,Purple,Orange,Gray,5
17,1,8,6,Blue,Red,Green,5
18,9,2,4,Yellow,Pink,Brown,5
19,1,8,6,Blue,Red,Green,5
20,9,2,4,Purple,Orange,Gray,5
21,1,8,6,Blue,Red,Green,5
22,9,2,4,Purple,Orange,Gray,5
23,1,8,6,Blue,Red,Green,5
24,5,7,3,Purple,Orange,Gray,5
25,9,2,4,Yellow,Pink,Brown,5
26,5,7,3,Blue,Red,Green,5
27,1,8,6,Yellow,Pink,Brown,5
28,9,2,4,Purple,Orange,Gray,5
29,5,7,3,Yellow,Pink,Brown,5
30,9,2,4,Purple,Orange,Gray,5
31,5,7,3,Blue,Red,Green,5
32,9,2,4,Yellow,Pink,Brown,5
33,5,7,3,Purple,Orange,Gray,5
34,1,8,6,Yellow,Pink,Brown,5
35,5,7,3,Blue,Red,Green,5
36,9,2,4,Yellow,Pink,Brown,5
37,5,7,3,Blue,Red,Green,5
38,9,2,4,Yellow,Pink,Brown,5
39,1,8,6,Blue,Red,Green,5
40,5,7,3,Purple,Orange,Gray,5
41,1,8,6,Yellow,Pink,Brown,5
42,9,2,4,Purple,Orange,Gray,5
43,1,8,6,Blue,Red,Green,5
44,9,2,4,Yellow,Pink,Brown,5
45,5,7,3,Blue,Red,Green,5
46,9,2,4,Purple,Orange,Gray,5
47,1,8,6,Yellow,Pink,Brown,5
48,9,2,4,Blue,Red,Green,5
49,5,7,3,Yellow,Pink,Brown,5
50,9,2,4,Purple,Orange,Gray,5
51,1,8,6,Blue,Red,Green,5
52,9,2,4,Yellow,Pink,Brown,5
53,1,8,6,Purple,Orange,Gray,5
54,5,7,3,Blue,Red,Green,5
55,1,8,6,Yellow,Pink,Brown,5
56,5,7,3,Purple,Orange,Gray,5
57,1,8,6,Yellow,Pink,Brown,5
58,9,2,4,Purple,Orange,Gray,5
59,1,8,6,Yellow,Pink,Brown,5
60,5,7,3,Purple,Orange,Gray,5
61,9,2,4,Blue,Red,Green,5
62,5,7,3,Yellow,Pink,Brown,5
63,1,8,6,Purple,Orange,Gray,5
64,9,2,4,Yellow,Pink,Brown,5
65,1,8,6,Purple,Orange,Gray,5
66,9,2,4,Blue,Red,Green,5
67,5,7,3,Yellow,Pink,Brown,5
68,9,2,4,Blue,Red,Green,5
69,5,7,3,Yellow,Pink,Brown,5
70,1,8,6,Blue,Red,Green,5
71,5,7,3,Yellow,Pink,Brown,5
72,1,8,6,Purple,Orange,Gray,5
73,9,2,4,Yellow,Pink,Brown,5
74,1,8,6,Purple,Orange,Gray,5
75,9,2,4,Blue,Red,Green,5
76,5,7,3,Purple,Orange,Gray,5
77,9,2,4,Blue,Red,Green,5
78,1,8,6,Purple,Orange,Gray,5
79,9,2,4,Blue,Red,Green,5
80,5,7,3,Yellow,Pink,Brown,5
81,1,8,6,Purple,Orange,Gray,5
82,9,2,4,Yellow,Pink,Brown,5
83,1,8,6,Blue,Red,Green,5
84,5,7,3,Yellow,Pink,Brown,5
85,9,2,4,Purple,Orange,Gray,5
86,1,8,6,Yellow,Pink,Brown,5
87,5,7,3,Purple,Orange,Gray,5
88,9,2,4,Blue,Red,Green,5
89,5,7,3,Yellow,Pink,Brown,5
90,9,2,4,Purple,Orange,Gray,5
91,1,8,6,Yellow,Pink,Brown,5
92,9,2,4,Blue,Red,Green,5
93,5,7,3,Yellow,Pink,Brown,5
94,1,8,6,Purple,Orange,Gray,5
95,5,7,3,Blue,Red,Green,5
96,1,8,6,Yellow,Pink,Brown,5
97,9,2,4,Blue,Red,Green,5
98,1,8,6,Purple,Orange,Gray,5
99,9,2,4,Blue,Red,Green,5
100,1,8,6,Purple,Orange,Gray,5
101,5,7,3,Yellow,Pink,Brown,5
102,9,2,4,Blue,Red,Green,5
103,5,7,3,Purple,Orange,Gray,5
104,1,8,6,Blue,Red,Green,5
105,5,7,3,Yellow,Pink,Brown,5
106,9,2,4,Blue,Red,Green,5
107,5,7,3,Yellow,Pink,Brown,5
108,1,8,6,Purple,Orange,Gray,5
109,9,2,4,Yellow,Pink,Brown,5
110,5,7,3,Purple,Orange,Gray,5
111,9,2,4,Yellow,Pink,Brown,5
112,5,7,3,Blue,Red,Green,5
113,9,2,4,Purple,Orange,Gray,5
114,1,8,6,Blue,Red,Green,5
115,5,7,3,Yellow,Pink,Brown,5
116,1,8,6,Blue,Red,Green,5
117,5,7,3,Yellow,Pink,Brown,5
118,1,8,6,Purple,Orange,Gray,5
119,5,7,3,Yellow,Pink,Brown,5
120,9,2,4,Blue,Red,Green,5
121,5,7,3,Yellow,Pink,Brown,5
122,1,8,6,Purple,Orange,Gray,5
123,5,7,3,Blue,Red,Green,5
124,1,8,6,Purple,Orange,Gray,5
125,9,2,4,Blue,Red,Green,5
126,1,8,6,Yellow,Pink,Brown,5
127,5,7,3,Purple,Orange,Gray,5
128,1,8,6,Blue,Red,Green,5
129,5,7,3,Purple,Orange,Gray,5
130,1,8,6,Blue,Red,Green,5
131,5,7,3,Purple,Orange,Gray,5
132,1,8,6,Yellow,Pink,Brown,5
133,9,2,4,Blue,Red,Green,5
134,1,8,6,Purple,Orange,Gray,5
